ric,company_name,name_bhrc,url_bhrc,,,,,,,,,,,,,,
ENI.MI,Eni SpA,Eni ,https://www.business-humanrights.org/en/companies/eni/,,,,,,,,,,,,,,
ENR1n.DE,Siemens Energy AG,Siemens Energy AG,https://www.business-humanrights.org/en/companies/siemens-energy-ag/,,,,,,,,,,,,,,
ENT.L,Entain PLC,N/A,N/A,,,,,,,,,,,,,,
ENX.PA,Euronext NV,N/A,N/A,,,,,,,,,,,,,,
EONGn.DE,E.ON SE,E.ON,https://www.business-humanrights.org/en/companies/eon/,,,,,,,,,,,,,,
EPIRa.ST,Epiroc AB,Epiroc AB,https://www.business-humanrights.org/en/companies/epiroc-ab/,,,,,,,,,,,,,,
EQNR.OL,Equinor ASA,Equinor (formerly Statoil),https://www.business-humanrights.org/en/companies/equinor-formerly-statoil/,,,,,,,,,,,,,,
EQTAB.ST,EQT AB,EQT Ventures,https://www.business-humanrights.org/en/companies/eqt-ventures/,,,,,,,,,,,,,,
ERICb.ST,Telefonaktiebolaget LM Ericsson,Ericsson,https://www.business-humanrights.org/en/companies/ericsson/,,,,,,,,,,,,,,
ERST.VI,Erste Group Bank AG,Erste Group,https://www.business-humanrights.org/en/companies/erste-group/,,,,,,,,,,,,,,
ESLX.PA,EssilorLuxottica SA,N/A,N/A,,,,,,,,,,,,,,
ESSITYb.ST,Essity AB (publ),Essity,https://www.business-humanrights.org/en/companies/essity/,,,,,,,,,,,,,,
EUFI.PA,Eurofins Scientific SE,Eurofins Scientific SE,https://www.business-humanrights.org/en/companies/eurofins-scientific-se/,,,,,,,,,,,,,,
EURA.PA,Eurazeo SE,N/A,N/A,,,,,,,,,,,,,,
EVDG.DE,CTS Eventim AG & Co KgaA,N/A,N/A,,,,,,,,,,,,,,
EVKn.DE,Evonik Industries AG,evonik,https://www.business-humanrights.org/en/companies/evonik/,,,,,,,,,,,,,,
EVOG.ST,Evolution AB (publ),N/A,N/A,,,,,,,,,,,,,,
EXHO.PA,Sodexo SA,Sodexo,https://www.business-humanrights.org/en/companies/sodexo/,,,,,,,,,,,,,,
EXOR.AS,Exor NV,Exor Investments,https://www.business-humanrights.org/en/companies/exor-investments/,,,,,,,,,,,,,,
EXPN.L,Experian PLC,Experian,https://www.business-humanrights.org/en/companies/experian/,,,,,,,,,,,,,,
EZJ.L,Easyjet PLC,easyJet,https://www.business-humanrights.org/en/companies/easyjet/,,,,,,,,,,,,,,
FBK.MI,FinecoBank Banca Fineco SpA,Fineco,https://www.business-humanrights.org/en/companies/fineco/,,,,,,,,,,,,,,
FDJU.PA,FDJ United,N/A,N/A,,,,,,,,,,,,,,
FER.MC,Ferrovial SE,Ferrovial,https://www.business-humanrights.org/en/companies/ferrovial/,,,,,,,,,,,,,,
FHZN.S,Flughafen Zuerich AG,N/A,N/A,,,,,,,,,,,,,,
FLS.CO,FLSmidth & Co A/S,FLSmidth A/S,https://www.business-humanrights.org/en/companies/flsmidth-as/,,,,,,,,,,,,,,
FMEG.DE,Fresenius Medical Care AG,Fresenius Medical Care,https://www.business-humanrights.org/en/companies/fresenius-medical-care/,,,,,,,,,,,,,,
FNTGn.DE,freenet AG,N/A,N/A,,,,,,,,,,,,,,
FORTUM.HE,Fortum Oyj,Fortum,https://www.business-humanrights.org/en/companies/fortum/,,,,,,,,,,,,,,
FOUG.PA,Eiffage SA,Eiffage,https://www.business-humanrights.org/en/companies/eiffage/,,,,,,,,,,,,,,
FPE3_p.DE,Fuchs Se,N/A,N/A,,,,,,,,,,,,,,
FREG.DE,Fresenius SE & Co KGaA,N/A,N/A,,,,,,,,,,,,,,
FRES.L,Fresnillo PLC,Fresnillo,https://www.business-humanrights.org/en/companies/fresnillo/,,,,,,,,,,,,,,
FRO.N,Frontline Plc,N/A,N/A,,,,,,,,,,,,,,
G1AG.DE,GEA Group AG,GEA Group,https://www.business-humanrights.org/en/companies/gea-group/,,,,,,,,,,,,,,
G24n.DE,Scout24 SE,N/A,N/A,,,,,,,,,,,,,,
GALD.S,Galderma Group AG,Galderma,https://www.business-humanrights.org/en/companies/galderma/,,,,,,,,,,,,,,
GALE.S,Galenica AG,N/A,N/A,,,,,,,,,,,,,,
GALP.LS,Galp Energia SGPS SA,N/A,N/A,,,,,,,,,,,,,,
GASI.MI,Assicurazioni Generali SpA,Assicurazioni Generali,https://www.business-humanrights.org/en/companies/assicurazioni-generali/,,,,,,,,,,,,,,
GAW.L,Games Workshop Group PLC,Games Workshop Group PLC,https://www.business-humanrights.org/en/companies/games-workshop-group-plc/,,,,,,,,,,,,,,
GBFG.DE,Bilfinger SE,Bilfinger Berger,https://www.business-humanrights.org/en/companies/bilfinger-berger/,,,,,,,,,,,,,,
GBLB.BR,Groep Brussel Lambert NV,N/A,N/A,,,,,,,,,,,,,,
GEBN.S,Geberit AG,Geberit,https://www.business-humanrights.org/en/companies/geberit/,,,,,,,,,,,,,,
GETIb.ST,Getinge AB,Getinge AB,https://www.business-humanrights.org/en/companies/getinge-ab/,,,,,,,,,,,,,,
GETP.PA,Getlink SE,Getlink SE,https://www.business-humanrights.org/en/companies/getlink-se/,,,,,,,,,,,,,,
GF.S,Georg Fischer AG,N/A,N/A,,,,,,,,,,,,,,
GFCP.PA,Gecina SA,N/A,N/A,,,,,,,,,,,,,,
GFTU_u.L,Grafton Group PLC,Grafton Group plc,https://www.business-humanrights.org/en/companies/grafton-group-plc/,,,,,,,,,,,,,,
GIVN.S,Givaudan SA,Givaudan,https://www.business-humanrights.org/en/companies/givaudan/,,,,,,,,,,,,,,
