ric,company_name,name_bhrc,company_id,url_bhrc,category,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
AIR.PA,Airbus SE,Airbus SE,899723,https://www.business-humanrights.org/en/companies/airbus-se/,other_allegations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIRP.PA,L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes Georges Claude SA,Air Liquide,755503,https://www.business-humanrights.org/en/companies/air-liquide/,hrd_attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIRP.PA,L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes Georges Claude SA,Air Liquide,755503,https://www.business-humanrights.org/en/companies/air-liquide/,lawsuits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIRP.PA,L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes Georges Claude SA,Air Liquide,755503,https://www.business-humanrights.org/en/companies/air-liquide/,other_allegations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKE.PA,Arkema SA,Arkema (part of Total),755683,https://www.business-humanrights.org/en/companies/arkema-part-of-total/,hrd_attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKE.PA,Arkema SA,Arkema (part of Total),755683,https://www.business-humanrights.org/en/companies/arkema-part-of-total/,lawsuits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKE.PA,Arkema SA,Arkema (part of Total),755683,https://www.business-humanrights.org/en/companies/arkema-part-of-total/,other_allegations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AKRBP.OL,Aker BP ASA,Aker BP,926914,https://www.business-humanrights.org/en/companies/aker-bp/,hrd_attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKRBP.OL,Aker BP ASA,Aker BP,926914,https://www.business-humanrights.org/en/companies/aker-bp/,lawsuits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKRBP.OL,Aker BP ASA,Aker BP,926914,https://www.business-humanrights.org/en/companies/aker-bp/,other_allegations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AKZO.AS,Akzo Nobel NV,Akzo Nobel,755514,https://www.business-humanrights.org/en/companies/akzo-nobel/,hrd_attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKZO.AS,Akzo Nobel NV,Akzo Nobel,755514,https://www.business-humanrights.org/en/companies/akzo-nobel/,lawsuits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKZO.AS,Akzo Nobel NV,Akzo Nobel,755514,https://www.business-humanrights.org/en/companies/akzo-nobel/,other_allegations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALFA.ST,Alfa Laval AB,Alfa Laval Corporate AB,901944,https://www.business-humanrights.org/en/companies/alfa-laval-corporate-ab/,hrd_attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALFA.ST,Alfa Laval AB,Alfa Laval Corporate AB,901944,https://www.business-humanrights.org/en/companies/alfa-laval-corporate-ab/,lawsuits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALFA.ST,Alfa Laval AB,Alfa Laval Corporate AB,901944,https://www.business-humanrights.org/en/companies/alfa-laval-corporate-ab/,other_allegations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALSO.PA,Alstom SA,Alstom,755609,https://www.business-humanrights.org/en/companies/alstom/,hrd_attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALSO.PA,Alstom SA,Alstom,755609,https://www.business-humanrights.org/en/companies/alstom/,lawsuits,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALSO.PA,Alstom SA,Alstom,755609,https://www.business-humanrights.org/en/companies/alstom/,other_allegations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ALVG.DE,Allianz SE,Allianz,755605,https://www.business-humanrights.org/en/companies/allianz/,hrd_attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALVG.DE,Allianz SE,Allianz,755605,https://www.business-humanrights.org/en/companies/allianz/,lawsuits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALVG.DE,Allianz SE,Allianz,755605,https://www.business-humanrights.org/en/companies/allianz/,other_allegations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
AM.PA,Dassault Aviation SA,Dassault Aviation ,763425,https://www.business-humanrights.org/en/companies/dassault-aviation/,hrd_attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM.PA,Dassault Aviation SA,Dassault Aviation ,763425,https://www.business-humanrights.org/en/companies/dassault-aviation/,lawsuits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM.PA,Dassault Aviation SA,Dassault Aviation ,763425,https://www.business-humanrights.org/en/companies/dassault-aviation/,other_allegations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANA.MC,Acciona SA,Acciona Group,937105,https://www.business-humanrights.org/en/companies/acciona-group/,hrd_attacks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
