ric,company_name,name_bhrc,url_bhrc,company_id
GMAB.CO,Genmab A/S,Genmab,https://www.business-humanrights.org/en/companies/genmab/,757345
GRG.L,Greggs PLC,Greggs,https://www.business-humanrights.org/en/companies/greggs/,757206
GRLS.MC,Grifols SA,Grifols S.A.,https://www.business-humanrights.org/en/companies/grifols-sa/,907767
GSK.L,GSK plc,GSK,https://www.business-humanrights.org/en/companies/gsk/,967751
HAGG.DE,Hensoldt AG,Hensoldt,https://www.business-humanrights.org/en/companies/hensoldt/,956913
HEIG.DE,Heidelberg Materials AG,Heidelberg Materials (HeidelbergCement),https://www.business-humanrights.org/en/companies/heidelbergcement/,757496
HEIN.AS,Heineken NV,Heineken,https://www.business-humanrights.org/en/companies/heineken/,757449
HEXAb.ST,Hexagon AB,Hexagon,https://www.business-humanrights.org/en/companies/hexagon/,764543
HIK.L,Hikma Pharmaceuticals PLC,Hikma Pharmaceuticals plc,https://www.business-humanrights.org/en/companies/hikma-pharmaceuticals-plc/,901255
HLMA.L,Halma PLC,Halma,https://www.business-humanrights.org/en/companies/halma/,765094
HMb.ST,H & M Hennes & Mauritz AB,Hennes & Mauritz (H&M),https://www.business-humanrights.org/en/companies/hennes-mauritz-hm/,757581
HNKG_p.DE,Henkel AG & Co KGaA,Henkel,https://www.business-humanrights.org/en/companies/henkel/,757467
HOLMb.ST,Holmen AB,Holmen,https://www.business-humanrights.org/en/companies/holmen/,757556
HOLN.S,Holcim AG,Holcim (part of LafargeHolcim),https://www.business-humanrights.org/en/companies/holcim-part-of-lafargeholcim/,757434
HOTG.DE,Hochtief AG,Hochtief,https://www.business-humanrights.org/en/companies/hochtief/,757580
HRMS.PA,Hermes International SCA,Hermès,https://www.business-humanrights.org/en/companies/hermès/,757441
HSBA.L,HSBC Holdings PLC,HSBC,https://www.business-humanrights.org/en/companies/hsbc/,757428
HSX.L,Hiscox Ltd,Hiscox,https://www.business-humanrights.org/en/companies/hiscox/,764999
HUH1V.HE,Huhtamaki Oyj,Huhtamaki OYJ,https://www.business-humanrights.org/en/companies/huhtamaki-oyj/,900509
HWDN.L,Howden Joinery Group PLC,Howden Joinery Group Plc,https://www.business-humanrights.org/en/companies/howden-joinery-group-plc/,765102
IBE.MC,Iberdrola SA,Iberdrola,https://www.business-humanrights.org/en/companies/iberdrola/,757675
ICAG.L,International Consolidated Airlines Group SA,International Consolidated Airlines Group,https://www.business-humanrights.org/en/companies/international-consolidated-airlines-group/,765095
ICGIN.L,ICG PLC,Intermediate Capital Group plc,https://www.business-humanrights.org/en/companies/intermediate-capital-group-plc/,905544
IDR.MC,Indra Sistemas SA,Indra Sistemas SA,https://www.business-humanrights.org/en/companies/indra/,757712
IFXGn.DE,Infineon Technologies AG,Infineon Technologies,https://www.business-humanrights.org/en/companies/infineon-technologies/,762134
IGG.L,IG Group Holdings PLC,IG Group Holdings Plc,https://www.business-humanrights.org/en/companies/ig-group-holdings-plc/,899499
IHG.L,InterContinental Hotels Group PLC,IHG Hotels & Resorts,https://www.business-humanrights.org/en/companies/ihg-hotels-resorts/,757656
III.L,3i Group PLC,3i,https://www.business-humanrights.org/en/companies/3i/,758732
IMB.L,Imperial Brands PLC,Imperial Brands plc,https://www.business-humanrights.org/en/companies/imperial-brands-plc/,903232
IMCD.AS,IMCD NV,IMCD Group,https://www.business-humanrights.org/en/companies/imcd-group/,980361
IMI.L,IMI PLC,IMI,https://www.business-humanrights.org/en/companies/imi/,760738
INCH.L,Inchcape PLC,Inchcape plc,https://www.business-humanrights.org/en/companies/inchcape-plc/,899522
INDUc.ST,Industrivarden AB,AB Industrivärden,https://www.business-humanrights.org/en/companies/ab-industrivärden/,935352
INF.L,Informa PLC,Informa plc,https://www.business-humanrights.org/en/companies/informa-plc/,901879
INGA.AS,ING Groep NV,ING,https://www.business-humanrights.org/en/companies/ing/,757625
INVP.L,Investec PLC,Investec Bank plc,https://www.business-humanrights.org/en/companies/investec-bank-plc/,907393
ISP.MI,Intesa Sanpaolo SpA,Intesa Sanpaolo,https://www.business-humanrights.org/en/companies/intesa-sanpaolo/,757727
ISS.CO,ISS A/S,ISS,https://www.business-humanrights.org/en/companies/iss/,757634
ITRK.L,Intertek Group PLC,Intertek,https://www.business-humanrights.org/en/companies/intertek/,760667
ITV.L,ITV PLC,ITV,https://www.business-humanrights.org/en/companies/itv/,757661
ITX.MC,Industria de Diseno Textil SA,Inditex,https://www.business-humanrights.org/en/companies/inditex/,757645
IVG.MI,Iveco Group NV,Iveco,https://www.business-humanrights.org/en/companies/iveco/,964675
JD.L,JD Sports Fashion PLC,JD Sports Fashion,https://www.business-humanrights.org/en/companies/jd-sports-fashion/,762216
JDEP.AS,JDE Peets NV,Jacobs Douwe Egberts (JDE),https://www.business-humanrights.org/en/companies/jacobs-douwe-egberts/,918331
JMAT.L,Johnson Matthey PLC,Johnson Matthey,https://www.business-humanrights.org/en/companies/johnson-matthey/,757813
JYSK.CO,Jyske Bank A/S,Jyske Bank,https://www.business-humanrights.org/en/companies/jyske-bank/,908859
KBC.BR,Kbc Groep NV,KBC,https://www.business-humanrights.org/en/companies/kbc/,757855
KEMIRA.HE,Kemira Oyj,Kemira,https://www.business-humanrights.org/en/companies/kemira/,757946
KESKOB.HE,Kesko Oyj,Kesko,https://www.business-humanrights.org/en/companies/kesko/,757859
KGF.L,Kingfisher PLC,Kingfisher,https://www.business-humanrights.org/en/companies/kingfisher/,757873
KGH.WA,KGHM Polska Miedz SA,KGHM Polska MiedŸ S.A,https://www.business-humanrights.org/en/companies/kghm-polska-miedÿ-sa/,911270
KNIN.S,Kuehne und Nagel International AG,Kühne + Nagel,https://www.business-humanrights.org/en/companies/kühne-nagel/,761379
KOG.OL,Kongsberg Gruppen ASA,Kongsberg,https://www.business-humanrights.org/en/companies/kongsberg/,765857
KPN.AS,Koninklijke KPN NV,KPN,https://www.business-humanrights.org/en/companies/kpn/,760616
KSP.I,Kingspan Group PLC,Kingspan,https://www.business-humanrights.org/en/companies/kingspan/,763699
KYGa.I,Kerry Group PLC,Kerry Group,https://www.business-humanrights.org/en/companies/kerry-group/,762818
LAND.L,Land Securities Group PLC,Land Securities,https://www.business-humanrights.org/en/companies/land-securities/,758079
LDOF.MI,Leonardo SpA,Leonardo,https://www.business-humanrights.org/en/companies/leonardo/,762682
LEGD.PA,Legrand SA,Legrand Electric Ltd,https://www.business-humanrights.org/en/companies/legrand-electric-ltd/,904500
LHAG.DE,Deutsche Lufthansa AG,Lufthansa,https://www.business-humanrights.org/en/companies/lufthansa/,758000
LIGHT.AS,Signify NV,Signify,https://www.business-humanrights.org/en/companies/signify/,763735
LISP.S,Chocoladefabriken Lindt & Spruengli AG,Lindt & Sprüngli,https://www.business-humanrights.org/en/companies/lindt-sprüngli/,762635
LLOY.L,Lloyds Banking Group PLC,Lloyds,https://www.business-humanrights.org/en/companies/lloyds/,757982
LMPL.L,LondonMetric Property PLC,LondonMetric Property PLC,https://www.business-humanrights.org/en/companies/londonmetric-property-plc/,899548
LOGN.S,Logitech International SA,Logitech,https://www.business-humanrights.org/en/companies/logitech/,765725
LONN.S,Lonza Group AG,Lonza,https://www.business-humanrights.org/en/companies/lonza/,764781
LPPP.WA,LPP SA,LPP Spółka Akcyjna,https://www.business-humanrights.org/en/companies/lpp-spółka-akcyjna/,762728
LSEG.L,London Stock Exchange Group PLC,London Stock Exchange,https://www.business-humanrights.org/en/companies/london-stock-exchange/,758127
LVMH.PA,LVMH Moet Hennessy Louis Vuitton SE,LVMH Moët Hennessy – Louis Vuitton,https://www.business-humanrights.org/en/companies/lvmh-moët-hennessy-louis-vuitton/,758060
LXSG.DE,Lanxess AG,LANXESS,https://www.business-humanrights.org/en/companies/lanxess/,763966
MAERSKb.CO,AP Moeller - Maersk A/S,A.P. Moller - Maersk Group,https://www.business-humanrights.org/en/companies/ap-moller-maersk-group/,755536
MAP.MC,Mapfre SA,MAPFRE,https://www.business-humanrights.org/en/companies/mapfre/,758366
MBGn.DE,Mercedes-Benz Group AG,Mercedes-Benz Group,https://www.business-humanrights.org/en/companies/mercedes-benz-group/,758399
MBK.WA,mBank SA,Mbank,https://www.business-humanrights.org/en/companies/mbank/,967374
MDBI.MI,Mediobanca Banca di Credito Finanziario SpA,Mediobanca,https://www.business-humanrights.org/en/companies/mediobanca/,758229
MICP.PA,Compagnie Generale des Etablissements Michelin SCA,Michelin,https://www.business-humanrights.org/en/companies/michelin/,758168
MKS.L,Marks and Spencer Group PLC,Marks & Spencer,https://www.business-humanrights.org/en/companies/marks-spencer/,758148
